expense,category,amount,currency,date
changed car oil for family,Transportation,7748,PKR,2026-05-08
paid exam fee,Education,12302,PKR,2026-04-11
visited salon today,Personal Care,3724,PKR,2026-05-30
bought medicine,Healthcare,18738,PKR,2026-05-07
travel expenses online,Travel,124361,PKR,2026-03-15
haircut,Personal Care,7260,PKR,2026-02-04
paid course fee yesterday,Education,48464,PKR,2026-01-12
watched a movie for family,Entertainment,9404,PKR,2026-02-19
paid medical bill this week,Healthcare,5118,PKR,2026-04-09
visited salon for family,Personal Care,4782,PKR,2026-07-31
paid hotel bill for family,Travel,32145,PKR,2026-02-02
paid internet bill this week,Utilities,11611,PKR,2026-05-23
bought prescription medicine today,Healthcare,13345,PKR,2026-06-04
visited salon for family,Personal Care,859,PKR,2026-01-12
bought milk online,Food & Groceries,5556,PKR,2026-07-25
paid service fee yesterday,Bills & Payments,20021,PKR,2026-06-05
bought shampoo this week,Personal Care,10244,PKR,2026-03-23
car maintenance for family,Transportation,12213,PKR,2026-08-04
paid course fee for family,Education,67309,PKR,2026-05-17
paid online bill for family,Bills & Payments,39794,PKR,2026-05-02
restaurant lunch this week,Food & Groceries,11139,PKR,2026-01-29
bought concert ticket this week,Entertainment,13254,PKR,2026-08-19
miscellaneous expense for family,Other,15651,PKR,2026-03-09
home repair for family,Home & Rent,60649,PKR,2026-07-04
bought cooking oil today,Food & Groceries,8689,PKR,2026-06-11
miscellaneous purchase yesterday,Other,4942,PKR,2026-07-30
paid apartment rent,Home & Rent,29808,PKR,2026-02-18
bought snacks this week,Food & Groceries,6961,PKR,2026-02-08
played games today,Entertainment,6923,PKR,2026-05-09
paid travel fare online,Travel,17326,PKR,2026-06-30
paid taxi fare for family,Transportation,5425,PKR,2026-06-19
paid service fee yesterday,Bills & Payments,41624,PKR,2026-02-14
paid service fee this week,Bills & Payments,72101,PKR,2026-04-01
home repair online,Home & Rent,70300,PKR,2026-06-06
paid loan installment today,Bills & Payments,37069,PKR,2026-05-23
paid school fee this week,Education,38380,PKR,2026-06-30
bought accessories this week,Shopping,16022,PKR,2026-03-31
bought personal care items this week,Personal Care,4915,PKR,2026-02-01
paid hotel bill for family,Travel,100534,PKR,2026-08-18
paid gaming subscription this week,Entertainment,12865,PKR,2026-07-25
booked ride,Transportation,4812,PKR,2026-07-02
paid water bill yesterday,Utilities,8903,PKR,2026-07-11
paid loan installment today,Bills & Payments,71092,PKR,2026-03-11
bought personal care items this week,Personal Care,2449,PKR,2026-01-28
paid hotel bill for family,Travel,63726,PKR,2026-03-04
bought chicken online,Food & Groceries,3914,PKR,2026-01-14
paid internet bill this week,Utilities,15979,PKR,2026-01-26
home repair today,Home & Rent,2358,PKR,2026-05-21
car maintenance online,Transportation,14528,PKR,2026-08-13
paid monthly bill online,Bills & Payments,26643,PKR,2026-07-13
paid course fee this week,Education,85159,PKR,2026-01-16
paid mobile bill for family,Utilities,8109,PKR,2026-05-17
miscellaneous expense today,Other,13793,PKR,2026-08-14
filled petrol in car yesterday,Transportation,13009,PKR,2026-05-07
booked ride,Transportation,251,PKR,2026-03-18
booked bus ticket,Travel,88829,PKR,2026-03-14
paid online bill for family,Bills & Payments,69223,PKR,2026-05-07
changed car oil this week,Transportation,3259,PKR,2026-07-27
paid water bill today,Utilities,15537,PKR,2026-06-15
bought stationery,Education,97049,PKR,2026-03-28
paid school fee today,Education,80579,PKR,2026-08-08
bought home appliances yesterday,Home & Rent,136077,PKR,2026-03-25
paid internet bill online,Utilities,3625,PKR,2026-02-17
changed car oil this week,Transportation,4164,PKR,2026-01-02
bought educational material today,Education,59054,PKR,2026-07-12
paid course fee this week,Education,76844,PKR,2026-07-05
booked hotel this week,Travel,95254,PKR,2026-06-27
bought new shoes online,Shopping,4173,PKR,2026-04-30
bought stationery yesterday,Education,90425,PKR,2026-05-09
general expense online,Other,3947,PKR,2026-06-13
paid course fee for family,Education,29447,PKR,2026-02-26
changed car oil today,Transportation,7554,PKR,2026-07-11
bought train ticket yesterday,Travel,144978,PKR,2026-05-01
bought personal care items today,Personal Care,12682,PKR,2026-03-05
home repair for family,Home & Rent,22461,PKR,2026-05-15
paid service fee online,Bills & Payments,47919,PKR,2026-01-20
booked hotel,Travel,144562,PKR,2026-08-20
bought shampoo for family,Personal Care,8992,PKR,2026-02-08
paid rickshaw fare for family,Transportation,7339,PKR,2026-01-30
paid apartment rent online,Home & Rent,129143,PKR,2026-01-24
visited salon,Personal Care,7629,PKR,2026-02-03
visited salon yesterday,Personal Care,9439,PKR,2026-01-15
visited salon online,Personal Care,13420,PKR,2026-03-20
miscellaneous expense yesterday,Other,8438,PKR,2026-07-29
bought eggs for family,Food & Groceries,1296,PKR,2026-01-12
paid streaming subscription online,Entertainment,1244,PKR,2026-05-19
bought vegetables yesterday,Food & Groceries,619,PKR,2026-03-15
bought movie ticket today,Entertainment,12747,PKR,2026-06-14
other payment this week,Other,12633,PKR,2026-04-25
went to amusement park,Entertainment,11385,PKR,2026-06-19
bought shampoo online,Personal Care,14294,PKR,2026-03-31
paid gas bill for family,Utilities,13379,PKR,2026-05-16
paid taxi fare,Transportation,12489,PKR,2026-01-06
paid exam fee online,Education,94753,PKR,2026-05-20
bought concert ticket yesterday,Entertainment,13689,PKR,2026-02-28
bought accessories this week,Shopping,5383,PKR,2026-03-12
bought clothes,Shopping,26824,PKR,2026-06-19
bought concert ticket,Entertainment,4143,PKR,2026-02-22
paid electricity bill for family,Utilities,1600,PKR,2026-04-25
paid hotel bill online,Travel,13760,PKR,2026-03-04
miscellaneous expense yesterday,Other,14483,PKR,2026-03-01
bought shampoo,Personal Care,2495,PKR,2026-05-09
paid school fee online,Education,76011,PKR,2026-03-23
booked bus ticket online,Travel,85060,PKR,2026-03-02
bought stationery online,Education,68821,PKR,2026-02-26
paid streaming subscription this week,Entertainment,1198,PKR,2026-05-23
paid hotel bill today,Travel,112988,PKR,2026-05-23
paid credit card bill this week,Bills & Payments,84820,PKR,2026-06-21
paid gaming subscription for family,Entertainment,5422,PKR,2026-06-28
went to amusement park today,Entertainment,5113,PKR,2026-04-07
changed car oil today,Transportation,14015,PKR,2026-02-27
bought stationery yesterday,Education,8052,PKR,2026-05-24
went to amusement park for family,Entertainment,8883,PKR,2026-02-04
bought movie ticket this week,Entertainment,3531,PKR,2026-03-26
paid house rent yesterday,Home & Rent,98275,PKR,2026-01-24
bought personal care items today,Personal Care,1044,PKR,2026-03-10
played games for family,Entertainment,10078,PKR,2026-01-11
paid gas bill for family,Utilities,18812,PKR,2026-02-25
paid loan installment this week,Bills & Payments,40239,PKR,2026-01-04
bought trousers online,Shopping,4144,PKR,2026-07-11
paid loan installment online,Bills & Payments,79720,PKR,2026-06-30
bought cosmetics today,Shopping,18390,PKR,2026-03-24
bought educational material yesterday,Education,70446,PKR,2026-06-16
visited hospital this week,Healthcare,23869,PKR,2026-05-12
paid monthly bill,Bills & Payments,95188,PKR,2026-05-01
paid doctor fee this week,Healthcare,20807,PKR,2026-04-16
bought chicken online,Food & Groceries,2490,PKR,2026-01-05
bought educational material this week,Education,20476,PKR,2026-02-20
paid doctor fee yesterday,Healthcare,37641,PKR,2026-08-02
bought accessories for family,Shopping,21750,PKR,2026-06-25
visited hospital yesterday,Healthcare,47719,PKR,2026-06-14
other payment yesterday,Other,5612,PKR,2026-07-07
paid doctor fee today,Healthcare,47506,PKR,2026-05-20
paid loan installment for family,Bills & Payments,84623,PKR,2026-01-16
haircut,Personal Care,13602,PKR,2026-06-21
bought groceries yesterday,Food & Groceries,2352,PKR,2026-08-04
paid apartment rent,Home & Rent,40591,PKR,2026-01-03
bought household items yesterday,Shopping,12529,PKR,2026-01-16
paid hotel bill online,Travel,127669,PKR,2026-06-18
paid credit card bill,Bills & Payments,70258,PKR,2026-05-22
watched a movie,Entertainment,8873,PKR,2026-07-04
bought notebooks,Education,66326,PKR,2026-07-28
other payment today,Other,3606,PKR,2026-01-25
bought shampoo today,Personal Care,3344,PKR,2026-06-08
bought skincare products this week,Personal Care,4579,PKR,2026-07-23
watched a movie this week,Entertainment,6852,PKR,2026-04-28
booked flight online,Travel,60207,PKR,2026-03-18
home repair,Home & Rent,9305,PKR,2026-01-24
went to amusement park yesterday,Entertainment,9255,PKR,2026-05-02
bought groceries online,Food & Groceries,2907,PKR,2026-01-22
paid monthly bill online,Bills & Payments,43920,PKR,2026-05-25
paid utility bill,Utilities,8028,PKR,2026-02-24
miscellaneous purchase yesterday,Other,8983,PKR,2026-01-12
paid mobile bill this week,Utilities,18294,PKR,2026-05-25
paid house rent today,Home & Rent,83440,PKR,2026-01-05
online shopping today,Shopping,24949,PKR,2026-07-30
other payment,Other,9906,PKR,2026-02-11
booked flight for family,Travel,103015,PKR,2026-06-23
bought skincare products yesterday,Personal Care,12579,PKR,2026-07-09
filled fuel for family,Transportation,12313,PKR,2026-03-30
bought fruits yesterday,Food & Groceries,3903,PKR,2026-08-03
paid water bill for family,Utilities,13499,PKR,2026-07-18
bought medicine online,Healthcare,18212,PKR,2026-07-20
paid monthly bill today,Bills & Payments,47136,PKR,2026-05-22
went to amusement park today,Entertainment,11336,PKR,2026-05-30
bought home appliances,Home & Rent,78431,PKR,2026-07-24
bought clothes,Shopping,9080,PKR,2026-02-09
played games online,Entertainment,2727,PKR,2026-07-09
paid streaming subscription this week,Entertainment,1945,PKR,2026-01-24
bought flour yesterday,Food & Groceries,5996,PKR,2026-07-14
bought books today,Education,11942,PKR,2026-02-17
went to amusement park for family,Entertainment,9288,PKR,2026-05-12
watched a movie,Entertainment,1668,PKR,2026-04-01
haircut for family,Personal Care,9998,PKR,2026-07-20
bought prescription medicine yesterday,Healthcare,1108,PKR,2026-03-16
went to amusement park,Entertainment,12075,PKR,2026-08-19
bought shampoo for family,Personal Care,8737,PKR,2026-02-13
bought home appliances today,Home & Rent,37396,PKR,2026-03-10
bought notebooks yesterday,Education,19627,PKR,2026-01-17
car maintenance this week,Transportation,6999,PKR,2026-03-18
paid credit card bill this week,Bills & Payments,33490,PKR,2026-03-05
other payment for family,Other,6507,PKR,2026-04-28
paid gas bill this week,Utilities,721,PKR,2026-04-12
bought prescription medicine for family,Healthcare,25196,PKR,2026-07-25
bought vitamins this week,Healthcare,28520,PKR,2026-07-28
paid maintenance charges today,Home & Rent,79757,PKR,2026-03-24
paid hotel bill today,Travel,126569,PKR,2026-03-22
car maintenance this week,Transportation,4875,PKR,2026-07-08
other payment for family,Other,8043,PKR,2026-03-25
paid streaming subscription yesterday,Entertainment,6180,PKR,2026-01-30
booked flight for family,Travel,144033,PKR,2026-02-16
home repair for family,Home & Rent,8055,PKR,2026-07-06
paid online bill today,Bills & Payments,57969,PKR,2026-07-24
bought books yesterday,Education,88708,PKR,2026-05-08
booked ride today,Transportation,4239,PKR,2026-06-18
car maintenance yesterday,Transportation,1311,PKR,2026-04-25
paid travel fare for family,Travel,106068,PKR,2026-05-17
bought personal care items yesterday,Personal Care,9107,PKR,2026-01-10
dental checkup for family,Healthcare,39216,PKR,2026-06-13
paid electricity bill today,Utilities,12132,PKR,2026-02-12
paid maintenance charges,Home & Rent,148644,PKR,2026-06-15
bought cleaning supplies yesterday,Home & Rent,87926,PKR,2026-07-23
watched a movie,Entertainment,1815,PKR,2026-03-08
bought household items online,Shopping,17299,PKR,2026-05-23
paid hotel bill for family,Travel,58942,PKR,2026-04-25
bought vitamins yesterday,Healthcare,44835,PKR,2026-05-31
miscellaneous purchase today,Other,11403,PKR,2026-01-07
paid credit card bill this week,Bills & Payments,55022,PKR,2026-01-22
paid mobile bill today,Utilities,11914,PKR,2026-03-21
bought vitamins today,Healthcare,34451,PKR,2026-05-04
bought vitamins,Healthcare,29015,PKR,2026-07-04
other payment this week,Other,2301,PKR,2026-03-18
bought fruits,Food & Groceries,14012,PKR,2026-03-29
paid house rent online,Home & Rent,44084,PKR,2026-07-09
bought household items today,Shopping,18384,PKR,2026-02-10
paid medical bill yesterday,Healthcare,30581,PKR,2026-03-01
played games today,Entertainment,3253,PKR,2026-06-13
bought home appliances yesterday,Home & Rent,8652,PKR,2026-07-08
booked flight yesterday,Travel,113604,PKR,2026-04-10
bought eggs today,Food & Groceries,4660,PKR,2026-07-12
miscellaneous expense for family,Other,3434,PKR,2026-07-24
bought shampoo this week,Personal Care,5540,PKR,2026-02-20
paid credit card bill this week,Bills & Payments,88410,PKR,2026-08-09
paid service fee online,Bills & Payments,41578,PKR,2026-06-02
bought concert ticket yesterday,Entertainment,9817,PKR,2026-01-30
visited hospital yesterday,Healthcare,40759,PKR,2026-02-14
bought cleaning supplies this week,Home & Rent,23217,PKR,2026-06-22
paid rickshaw fare,Transportation,4008,PKR,2026-03-20
paid gas bill this week,Utilities,5132,PKR,2026-05-11
went to amusement park for family,Entertainment,2458,PKR,2026-05-28
went to amusement park today,Entertainment,8173,PKR,2026-06-12
bought personal care items online,Personal Care,3038,PKR,2026-05-23
changed car oil this week,Transportation,2398,PKR,2026-02-17
bought prescription medicine yesterday,Healthcare,40893,PKR,2026-01-14
bought medicine yesterday,Healthcare,9247,PKR,2026-02-19
bought concert ticket for family,Entertainment,10899,PKR,2026-05-07
played games yesterday,Entertainment,7009,PKR,2026-07-01
paid monthly bill today,Bills & Payments,11335,PKR,2026-05-25
bought chicken this week,Food & Groceries,635,PKR,2026-03-12
bought household items this week,Shopping,5811,PKR,2026-07-19
paid service fee online,Bills & Payments,65421,PKR,2026-05-21
haircut for family,Personal Care,2071,PKR,2026-03-10
bought skincare products for family,Personal Care,13677,PKR,2026-07-13
bought snacks for family,Food & Groceries,3680,PKR,2026-04-19
paid mobile bill online,Utilities,8611,PKR,2026-03-18
bought snacks this week,Food & Groceries,5811,PKR,2026-08-09
paid internet bill,Utilities,8264,PKR,2026-02-23
miscellaneous purchase online,Other,11589,PKR,2026-08-09
miscellaneous purchase online,Other,14130,PKR,2026-02-12
booked flight today,Travel,55248,PKR,2026-07-26
restaurant lunch for family,Food & Groceries,4705,PKR,2026-06-02
bought shampoo this week,Personal Care,11735,PKR,2026-03-16
bought notebooks for family,Education,89537,PKR,2026-07-28
paid gas bill yesterday,Utilities,2442,PKR,2026-03-12
paid apartment rent online,Home & Rent,35784,PKR,2026-03-05
paid rickshaw fare today,Transportation,12575,PKR,2026-08-04
bought home appliances yesterday,Home & Rent,38269,PKR,2026-05-28
bought furniture online,Home & Rent,109586,PKR,2026-04-07
paid credit card bill online,Bills & Payments,12702,PKR,2026-04-14
bought personal care items this week,Personal Care,11582,PKR,2026-08-13
bought vitamins yesterday,Healthcare,21749,PKR,2026-05-29
bought vegetables online,Food & Groceries,7611,PKR,2026-06-12
bought cleaning supplies this week,Home & Rent,17601,PKR,2026-07-23
visited salon today,Personal Care,7239,PKR,2026-07-31
bought accessories this week,Shopping,10879,PKR,2026-08-01
paid course fee for family,Education,76250,PKR,2026-02-03
travel expenses yesterday,Travel,91109,PKR,2026-08-17
home repair,Home & Rent,13043,PKR,2026-01-26
home repair yesterday,Home & Rent,5268,PKR,2026-02-01
changed car oil yesterday,Transportation,111,PKR,2026-04-20
bought shirt online,Shopping,10191,PKR,2026-02-10
bought books online,Education,47742,PKR,2026-03-06
paid water bill online,Utilities,5923,PKR,2026-01-14
played games this week,Entertainment,12094,PKR,2026-06-29
bought cosmetics online,Shopping,3288,PKR,2026-06-30
paid electricity bill today,Utilities,16124,PKR,2026-01-20
paid taxi fare for family,Transportation,11240,PKR,2026-04-24
bought groceries online,Food & Groceries,5729,PKR,2026-07-29
paid internet bill online,Utilities,4831,PKR,2026-05-03
paid gas bill yesterday,Utilities,3427,PKR,2026-07-07
paid electricity bill this week,Utilities,12544,PKR,2026-08-14
bought stationery yesterday,Education,99217,PKR,2026-08-12
paid bus fare,Transportation,8791,PKR,2026-05-25
bought bread yesterday,Food & Groceries,5853,PKR,2026-07-04
bought shirt yesterday,Shopping,20487,PKR,2026-06-25
paid loan installment,Bills & Payments,13668,PKR,2026-02-05
paid utility bill online,Utilities,13083,PKR,2026-03-31
paid streaming subscription today,Entertainment,4259,PKR,2026-03-12
paid house rent today,Home & Rent,146069,PKR,2026-06-03
paid hotel bill for family,Travel,75690,PKR,2026-07-19
miscellaneous expense online,Other,9984,PKR,2026-02-22
bought perfume for family,Personal Care,3290,PKR,2026-07-11
paid streaming subscription online,Entertainment,1094,PKR,2026-07-20
bought accessories yesterday,Shopping,3994,PKR,2026-03-03
paid online bill for family,Bills & Payments,9807,PKR,2026-05-16
restaurant lunch this week,Food & Groceries,2262,PKR,2026-04-10
paid travel fare this week,Travel,144224,PKR,2026-06-24
changed car oil,Transportation,373,PKR,2026-05-31
paid electricity bill this week,Utilities,7569,PKR,2026-01-11
pizza for dinner for family,Food & Groceries,4793,PKR,2026-06-10
miscellaneous purchase yesterday,Other,13979,PKR,2026-06-29
watched a movie online,Entertainment,8991,PKR,2026-05-18
booked flight this week,Travel,22914,PKR,2026-03-21
paid utility bill today,Utilities,5591,PKR,2026-05-18
bought vitamins for family,Healthcare,41869,PKR,2026-07-15
bought cleaning supplies online,Home & Rent,18331,PKR,2026-03-21
other payment online,Other,7919,PKR,2026-01-15
bought clothes yesterday,Shopping,4100,PKR,2026-04-27
booked bus ticket,Travel,82078,PKR,2026-06-20
paid miscellaneous charges,Other,515,PKR,2026-07-01
filled petrol in car today,Transportation,8233,PKR,2026-03-30
bought perfume online,Personal Care,4447,PKR,2026-02-12
paid doctor fee online,Healthcare,17913,PKR,2026-07-07
paid electricity bill this week,Utilities,14568,PKR,2026-03-11
haircut this week,Personal Care,11870,PKR,2026-05-28
paid house rent yesterday,Home & Rent,120327,PKR,2026-05-11
bought medicine yesterday,Healthcare,37451,PKR,2026-02-12
paid doctor fee this week,Healthcare,7043,PKR,2026-08-17
paid hotel bill online,Travel,31234,PKR,2026-02-28
miscellaneous purchase,Other,1543,PKR,2026-08-08
bought chicken,Food & Groceries,7829,PKR,2026-04-04
bought movie ticket today,Entertainment,14249,PKR,2026-01-10
bought personal care items online,Personal Care,10943,PKR,2026-04-18
bought watch today,Shopping,13939,PKR,2026-07-04
visited hospital,Healthcare,37756,PKR,2026-04-06
paid utility bill online,Utilities,2225,PKR,2026-02-15
bought household items,Shopping,13437,PKR,2026-01-18
paid bank charges this week,Bills & Payments,43399,PKR,2026-01-23
visited salon,Personal Care,6244,PKR,2026-02-21
bought notebooks online,Education,82120,PKR,2026-03-04
paid bank charges for family,Bills & Payments,65165,PKR,2026-07-17
bought household items today,Shopping,5233,PKR,2026-01-02
watched a movie today,Entertainment,9072,PKR,2026-03-30
home repair online,Home & Rent,3515,PKR,2026-03-27
pizza for dinner online,Food & Groceries,12014,PKR,2026-03-20
paid gas bill for family,Utilities,8304,PKR,2026-04-18
paid credit card bill today,Bills & Payments,93777,PKR,2026-03-13
paid electricity bill today,Utilities,17531,PKR,2026-04-16
general expense yesterday,Other,2882,PKR,2026-05-29
paid utility bill today,Utilities,13422,PKR,2026-01-20
booked bus ticket,Travel,115028,PKR,2026-06-19
paid taxi fare this week,Transportation,4376,PKR,2026-08-06
bought prescription medicine yesterday,Healthcare,46222,PKR,2026-08-01
general expense this week,Other,14935,PKR,2026-03-11
bought clothes today,Shopping,4760,PKR,2026-07-19
booked hotel today,Travel,28697,PKR,2026-02-12
paid monthly bill this week,Bills & Payments,53782,PKR,2026-01-31
bought skincare products today,Personal Care,7604,PKR,2026-03-20
paid bank charges,Bills & Payments,12351,PKR,2026-02-10
bought furniture online,Home & Rent,11572,PKR,2026-02-25
paid doctor fee,Healthcare,46906,PKR,2026-03-05
bought vitamins for family,Healthcare,3508,PKR,2026-06-23
bought notebooks today,Education,4573,PKR,2026-04-14
paid service fee online,Bills & Payments,72605,PKR,2026-03-05
paid internet bill,Utilities,5080,PKR,2026-02-01
grocery shopping today,Food & Groceries,2241,PKR,2026-02-20
paid streaming subscription online,Entertainment,10526,PKR,2026-06-15
paid utility bill for family,Utilities,8981,PKR,2026-07-28
paid electricity bill,Utilities,6979,PKR,2026-08-20
bought home appliances today,Home & Rent,25111,PKR,2026-08-20
bought medicine,Healthcare,30511,PKR,2026-01-13
car maintenance online,Transportation,6571,PKR,2026-05-08
pizza for dinner online,Food & Groceries,7090,PKR,2026-02-14
paid doctor fee today,Healthcare,18321,PKR,2026-03-13
paid loan installment,Bills & Payments,80992,PKR,2026-06-08
booked flight online,Travel,78360,PKR,2026-05-08
bought concert ticket yesterday,Entertainment,1199,PKR,2026-01-23
bought educational material today,Education,55449,PKR,2026-02-21
home repair for family,Home & Rent,66312,PKR,2026-06-11
haircut yesterday,Personal Care,13010,PKR,2026-07-02
bought vitamins for family,Healthcare,32063,PKR,2026-03-30
booked bus ticket this week,Travel,102811,PKR,2026-03-11
filled petrol in car this week,Transportation,9883,PKR,2026-02-26
bought rice,Food & Groceries,13348,PKR,2026-05-01
bought skincare products for family,Personal Care,4013,PKR,2026-02-10
paid gas bill online,Utilities,8402,PKR,2026-03-10
bought personal care items,Personal Care,12718,PKR,2026-02-26
travel expenses yesterday,Travel,94009,PKR,2026-08-03
paid bus fare today,Transportation,9807,PKR,2026-03-23
general expense for family,Other,1024,PKR,2026-06-30
general expense for family,Other,18568,PKR,2026-02-06
booked flight yesterday,Travel,143114,PKR,2026-03-21
changed car oil,Transportation,1578,PKR,2026-01-15
online shopping today,Shopping,953,PKR,2026-05-15
paid credit card bill this week,Bills & Payments,80995,PKR,2026-02-21
paid rickshaw fare online,Transportation,3007,PKR,2026-07-25
bought medicine,Healthcare,9980,PKR,2026-05-31
paid miscellaneous charges,Other,17345,PKR,2026-08-09
bought medicine this week,Healthcare,46472,PKR,2026-06-19
bought concert ticket,Entertainment,5714,PKR,2026-03-19
paid doctor fee today,Healthcare,48295,PKR,2026-04-22
bought home appliances online,Home & Rent,84173,PKR,2026-02-14
miscellaneous purchase online,Other,11792,PKR,2026-02-27
paid maintenance charges today,Home & Rent,100191,PKR,2026-03-20
general expense today,Other,5923,PKR,2026-07-06
pizza for dinner for family,Food & Groceries,630,PKR,2026-02-16
bought train ticket for family,Travel,58906,PKR,2026-06-13
booked hotel yesterday,Travel,37868,PKR,2026-03-26
miscellaneous expense today,Other,11464,PKR,2026-03-23
filled fuel online,Transportation,11077,PKR,2026-06-13
general expense yesterday,Other,473,PKR,2026-03-09
bought trousers online,Shopping,2521,PKR,2026-03-31
bought books online,Education,667,PKR,2026-01-13
went to amusement park online,Entertainment,7075,PKR,2026-02-12
went to amusement park yesterday,Entertainment,5954,PKR,2026-05-20
watched a movie yesterday,Entertainment,13122,PKR,2026-08-10
paid hotel bill online,Travel,60135,PKR,2026-02-11
paid credit card bill,Bills & Payments,39154,PKR,2026-01-06
visited hospital,Healthcare,5162,PKR,2026-03-29
car maintenance today,Transportation,12092,PKR,2026-01-20
haircut this week,Personal Care,9932,PKR,2026-06-07
paid online bill,Bills & Payments,57034,PKR,2026-06-17
car maintenance today,Transportation,977,PKR,2026-01-26
paid doctor fee today,Healthcare,27122,PKR,2026-06-28
bought personal care items online,Personal Care,9049,PKR,2026-03-09
bought furniture this week,Home & Rent,63271,PKR,2026-01-25
pizza for dinner for family,Food & Groceries,9105,PKR,2026-08-04
paid loan installment,Bills & Payments,47794,PKR,2026-01-01
watched a movie this week,Entertainment,13698,PKR,2026-06-19
paid maintenance charges yesterday,Home & Rent,53343,PKR,2026-01-25
bought eggs today,Food & Groceries,10556,PKR,2026-03-16
paid internet bill,Utilities,10604,PKR,2026-07-20
went to amusement park yesterday,Entertainment,14861,PKR,2026-06-19
bought books online,Education,71819,PKR,2026-04-10
paid rickshaw fare yesterday,Transportation,6152,PKR,2026-02-17
paid credit card bill this week,Bills & Payments,58137,PKR,2026-04-30
paid school fee this week,Education,74456,PKR,2026-01-16
filled fuel,Transportation,11046,PKR,2026-03-30
visited salon for family,Personal Care,3927,PKR,2026-05-22
pizza for dinner for family,Food & Groceries,6958,PKR,2026-05-18
home repair yesterday,Home & Rent,62772,PKR,2026-05-02
bought books yesterday,Education,94125,PKR,2026-01-09
bought perfume for family,Personal Care,13314,PKR,2026-05-27
paid maintenance charges today,Home & Rent,32531,PKR,2026-07-13
paid loan installment today,Bills & Payments,28272,PKR,2026-07-26
bought shirt,Shopping,14173,PKR,2026-01-21
bought home appliances today,Home & Rent,39765,PKR,2026-08-02
bought train ticket this week,Travel,18566,PKR,2026-01-23
bought concert ticket yesterday,Entertainment,9244,PKR,2026-03-25
paid exam fee,Education,92304,PKR,2026-06-09
booked bus ticket yesterday,Travel,30496,PKR,2026-04-17
paid bus fare for family,Transportation,9732,PKR,2026-05-30
paid electricity bill for family,Utilities,3809,PKR,2026-07-21
paid course fee yesterday,Education,35120,PKR,2026-04-09
bought home appliances for family,Home & Rent,125006,PKR,2026-01-10
booked ride yesterday,Transportation,2456,PKR,2026-06-08
paid hotel bill online,Travel,106308,PKR,2026-01-10
paid streaming subscription online,Entertainment,4092,PKR,2026-01-13
other payment this week,Other,12304,PKR,2026-01-06
bought prescription medicine this week,Healthcare,20678,PKR,2026-03-13
paid online bill online,Bills & Payments,13373,PKR,2026-08-11
bought shirt this week,Shopping,24670,PKR,2026-04-24
visited hospital online,Healthcare,27613,PKR,2026-06-04
paid house rent today,Home & Rent,116793,PKR,2026-02-24
played games yesterday,Entertainment,12643,PKR,2026-05-13
bought prescription medicine,Healthcare,34068,PKR,2026-07-22
filled fuel this week,Transportation,11725,PKR,2026-05-10
bought movie ticket for family,Entertainment,14606,PKR,2026-05-26
bought bread today,Food & Groceries,14438,PKR,2026-08-02
bought new shoes today,Shopping,1383,PKR,2026-04-27
restaurant lunch online,Food & Groceries,3362,PKR,2026-03-12
bought prescription medicine yesterday,Healthcare,33403,PKR,2026-04-12
paid house rent online,Home & Rent,9011,PKR,2026-03-03
bought vitamins for family,Healthcare,29535,PKR,2026-02-15
paid service fee for family,Bills & Payments,46343,PKR,2026-03-30
booked ride online,Transportation,13712,PKR,2026-06-26
paid water bill,Utilities,13166,PKR,2026-01-13
paid taxi fare today,Transportation,10706,PKR,2026-02-27
paid apartment rent this week,Home & Rent,108349,PKR,2026-05-12
bought groceries yesterday,Food & Groceries,2267,PKR,2026-06-15
filled petrol in car today,Transportation,4235,PKR,2026-06-05
bought notebooks yesterday,Education,49845,PKR,2026-08-07
bought vitamins this week,Healthcare,14600,PKR,2026-04-30
bought educational material for family,Education,13910,PKR,2026-01-02
bought personal care items this week,Personal Care,9398,PKR,2026-06-15
booked bus ticket this week,Travel,79243,PKR,2026-06-25
paid internet bill,Utilities,11519,PKR,2026-03-12
bought furniture this week,Home & Rent,69458,PKR,2026-06-17
general expense today,Other,5012,PKR,2026-05-13
bought new shoes for family,Shopping,13541,PKR,2026-06-19
dental checkup today,Healthcare,47570,PKR,2026-01-07
bought home appliances this week,Home & Rent,69007,PKR,2026-04-18
went to amusement park online,Entertainment,778,PKR,2026-05-30
miscellaneous purchase today,Other,11344,PKR,2026-07-05
paid miscellaneous charges online,Other,17618,PKR,2026-06-13
paid online bill this week,Bills & Payments,66994,PKR,2026-03-18
paid bus fare this week,Transportation,1699,PKR,2026-05-01
booked ride online,Transportation,13343,PKR,2026-05-24
paid rickshaw fare online,Transportation,1563,PKR,2026-02-26
paid doctor fee online,Healthcare,20425,PKR,2026-04-18
visited hospital this week,Healthcare,38675,PKR,2026-03-17
paid credit card bill yesterday,Bills & Payments,7535,PKR,2026-08-10
paid maintenance charges for family,Home & Rent,19668,PKR,2026-05-01
bought household items,Shopping,28726,PKR,2026-06-24
bought concert ticket this week,Entertainment,6968,PKR,2026-01-14
paid bus fare today,Transportation,5714,PKR,2026-04-15
paid travel fare today,Travel,83938,PKR,2026-08-09
paid miscellaneous charges,Other,16077,PKR,2026-03-27
paid apartment rent this week,Home & Rent,16207,PKR,2026-01-02
